external_id,booked_date,amount,currency,reference
BANK-SYN-0001,2026-08-01,173000000,VND,THANH TOAN INV-2026-0001
BANK-SYN-0002,2026-08-02,234000000,VND,THANH TOAN INV-2026-0002
BANK-SYN-0003,2026-08-03,137000000,VND,THANH TOAN INV-2026-0003
BANK-SYN-0004,2026-08-04,204000000,VND,THANH TOAN INV-2026-0004
BANK-SYN-0005,2026-08-05,45000000,VND,THANH TOAN INV-2026-0005
BANK-SYN-0006,2026-08-06,207000000,VND,THANH TOAN INV-2026-0006
BANK-SYN-0007,2026-08-07,85000000,VND,THANH TOAN INV-2026-0007
BANK-SYN-0008,2026-08-08,24000000,VND,THANH TOAN INV-2026-0008
BANK-SYN-0009,2026-08-09,87000000,VND,THANH TOAN INV-2026-0009
BANK-SYN-0010,2026-08-10,169000000,VND,THANH TOAN INV-2026-0010
BANK-SYN-0011,2026-08-11,168000000,VND,THANH TOAN INV-2026-0011
BANK-SYN-0012,2026-08-12,144000000,VND,THANH TOAN INV-2026-0012
BANK-SYN-0013,2026-08-13,198000000,VND,THANH TOAN INV-2026-0013
BANK-SYN-0014,2026-08-14,79000000,VND,THANH TOAN INV-2026-0014
BANK-SYN-0015,2026-08-15,87000000,VND,THANH TOAN INV-2026-0015
BANK-SYN-0016,2026-08-16,49000000,VND,THANH TOAN INV-2026-0016
BANK-SYN-0017,2026-08-17,109000000,VND,THANH TOAN INV-2026-0017
BANK-SYN-0018,2026-08-18,234000000,VND,THANH TOAN INV-2026-0018
BANK-SYN-0019,2026-08-19,183000000,VND,THANH TOAN INV-2026-0019
BANK-SYN-0020,2026-08-20,222000000,VND,THANH TOAN INV-2026-0020
BANK-SYN-0021,2026-08-21,14000000,VND,THANH TOAN INV-2026-0021
BANK-SYN-0022,2026-08-22,162000000,VND,THANH TOAN INV-2026-0022
BANK-SYN-0023,2026-08-23,179000000,VND,THANH TOAN INV-2026-0023
BANK-SYN-0024,2026-08-24,123000000,VND,THANH TOAN INV-2026-0024
BANK-SYN-0025,2026-08-25,177000000,VND,THANH TOAN INV-2026-0025
BANK-SYN-0026,2026-08-26,90000000,VND,THANH TOAN INV-2026-0026
BANK-SYN-0027,2026-08-27,11000000,VND,THANH TOAN INV-2026-0027
BANK-SYN-0028,2026-07-31,227000000,VND,THANH TOAN INV-2026-0028
BANK-SYN-0029,2026-08-01,155000000,VND,THANH TOAN INV-2026-0029
BANK-SYN-0030,2026-08-02,57000000,VND,THANH TOAN INV-2026-0030
BANK-SYN-0031,2026-08-03,110000000,VND,THANH TOAN INV-2026-0031
BANK-SYN-0032,2026-08-04,137000000,VND,THANH TOAN INV-2026-0032
BANK-SYN-0033,2026-08-05,45000000,VND,THANH TOAN INV-2026-0033
BANK-SYN-0034,2026-08-06,133000000,VND,THANH TOAN INV-2026-0034
BANK-SYN-0035,2026-08-07,146000000,VND,THANH TOAN INV-2026-0035
BANK-SYN-0036,2026-08-08,60000000,VND,THANH TOAN INV-2026-0036
BANK-SYN-0037,2026-08-09,137000000,VND,THANH TOAN INV-2026-0037
BANK-SYN-0038,2026-08-10,127000000,VND,THANH TOAN INV-2026-0038
BANK-SYN-0039,2026-08-11,117000000,VND,THANH TOAN INV-2026-0039
BANK-SYN-0040,2026-08-12,20000000,VND,THANH TOAN INV-2026-0040
BANK-SYN-0041,2026-08-13,38000000,VND,THANH TOAN INV-2026-0041
BANK-SYN-0042,2026-08-14,163000000,VND,THANH TOAN INV-2026-0042
BANK-SYN-0043,2026-08-15,187000000,VND,THANH TOAN INV-2026-0043
BANK-SYN-0044,2026-08-16,69000000,VND,THANH TOAN INV-2026-0044
BANK-SYN-0045,2026-08-17,232000000,VND,THANH TOAN INV-2026-0045
BANK-SYN-0046,2026-08-18,209000000,VND,THANH TOAN INV-2026-0046
BANK-SYN-0047,2026-08-19,177000000,VND,THANH TOAN INV-2026-0047
BANK-SYN-0048,2026-08-20,195000000,VND,THANH TOAN INV-2026-0048
BANK-SYN-0049,2026-08-21,139000000,VND,THANH TOAN INV-2026-0049
BANK-SYN-0050,2026-08-22,40000000,VND,THANH TOAN INV-2026-0050
