external_id,booked_date,amount,currency,reference
BANK-SYN-0001,2026-08-01,173000000,VND,THANH TOAN INV-2026-0001
BANK-SYN-0002,2026-08-02,234000000,VND,THANH TOAN INV-2026-0002
BANK-SYN-0003,2026-08-03,137000000,VND,THANH TOAN INV-2026-0003
BANK-SYN-0004,2026-08-04,204000000,VND,THANH TOAN INV-2026-0004
BANK-SYN-0005,2026-08-05,45000000,VND,THANH TOAN INV-2026-0005
BANK-SYN-0006,2026-08-06,207000000,VND,THANH TOAN INV-2026-0006
BANK-SYN-0007,2026-08-07,85000000,VND,THANH TOAN INV-2026-0007
BANK-SYN-0008,2026-08-08,24000000,VND,THANH TOAN INV-2026-0008
BANK-SYN-0009,2026-08-09,87000000,VND,THANH TOAN INV-2026-0009
BANK-SYN-0010,2026-08-10,169000000,VND,THANH TOAN INV-2026-0010
