invoice_number,customer_code,customer_name,tax_id,issue_date,due_date,amount,currency,outstanding_amount,account_owner,status,gold_blocker,has_invoice,has_acceptance,document_data_matches,customer_disputed,promise_due,promise_paid
INV-2026-0001,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000001,2026-07-02,2026-08-01,173000000,VND,173000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0002,CUS-002,Công ty An Bình (synthetic),SYN-0000000002,2026-07-03,2026-08-02,234000000,VND,234000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0003,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000003,2026-07-04,2026-08-03,137000000,VND,137000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0004,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000004,2026-07-05,2026-08-04,204000000,VND,204000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0005,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000005,2026-07-06,2026-08-05,45000000,VND,45000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0006,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000006,2026-07-07,2026-08-06,207000000,VND,207000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0007,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000007,2026-07-08,2026-08-07,85000000,VND,85000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0008,CUS-002,Công ty An Bình (synthetic),SYN-0000000008,2026-07-09,2026-08-08,24000000,VND,24000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0009,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000009,2026-07-10,2026-08-09,87000000,VND,87000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0010,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000010,2026-07-11,2026-08-10,169000000,VND,169000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0011,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000011,2026-07-12,2026-08-11,168000000,VND,168000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0012,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000012,2026-07-13,2026-08-12,144000000,VND,144000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0013,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000013,2026-07-14,2026-08-13,198000000,VND,198000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0014,CUS-002,Công ty An Bình (synthetic),SYN-0000000014,2026-07-15,2026-08-14,79000000,VND,79000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0015,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000015,2026-07-16,2026-08-15,87000000,VND,87000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0016,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000016,2026-07-17,2026-08-16,49000000,VND,49000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0017,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000017,2026-07-18,2026-08-17,109000000,VND,109000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0018,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000018,2026-07-19,2026-08-18,234000000,VND,234000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0019,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000019,2026-07-20,2026-08-19,183000000,VND,183000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0020,CUS-002,Công ty An Bình (synthetic),SYN-0000000020,2026-07-21,2026-08-20,222000000,VND,222000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0021,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000021,2026-07-22,2026-08-21,14000000,VND,14000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0022,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000022,2026-07-23,2026-08-22,162000000,VND,162000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0023,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000023,2026-07-24,2026-08-23,179000000,VND,179000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0024,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000024,2026-07-25,2026-08-24,123000000,VND,123000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0025,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000025,2026-07-26,2026-08-25,177000000,VND,177000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0026,CUS-002,Công ty An Bình (synthetic),SYN-0000000026,2026-07-27,2026-08-26,90000000,VND,90000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0027,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000027,2026-07-28,2026-08-27,11000000,VND,11000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0028,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000028,2026-07-01,2026-07-31,227000000,VND,227000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0029,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000029,2026-07-02,2026-08-01,155000000,VND,155000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0030,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000030,2026-07-03,2026-08-02,57000000,VND,57000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0031,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000031,2026-07-04,2026-08-03,110000000,VND,110000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0032,CUS-002,Công ty An Bình (synthetic),SYN-0000000032,2026-07-05,2026-08-04,137000000,VND,137000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0033,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000033,2026-07-06,2026-08-05,45000000,VND,45000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0034,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000034,2026-07-07,2026-08-06,133000000,VND,133000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0035,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000035,2026-07-08,2026-08-07,146000000,VND,146000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0036,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000036,2026-07-09,2026-08-08,60000000,VND,60000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0037,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000037,2026-07-10,2026-08-09,137000000,VND,137000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0038,CUS-002,Công ty An Bình (synthetic),SYN-0000000038,2026-07-11,2026-08-10,127000000,VND,127000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0039,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000039,2026-07-12,2026-08-11,117000000,VND,117000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0040,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000040,2026-07-13,2026-08-12,20000000,VND,20000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0041,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000041,2026-07-14,2026-08-13,38000000,VND,38000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0042,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000042,2026-07-15,2026-08-14,163000000,VND,163000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0043,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000043,2026-07-16,2026-08-15,187000000,VND,187000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0044,CUS-002,Công ty An Bình (synthetic),SYN-0000000044,2026-07-17,2026-08-16,69000000,VND,69000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0045,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000045,2026-07-18,2026-08-17,232000000,VND,232000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0046,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000046,2026-07-19,2026-08-18,209000000,VND,209000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0047,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000047,2026-07-20,2026-08-19,177000000,VND,177000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0048,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000048,2026-07-21,2026-08-20,195000000,VND,195000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0049,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000049,2026-07-22,2026-08-21,139000000,VND,139000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0050,CUS-002,Công ty An Bình (synthetic),SYN-0000000050,2026-07-23,2026-08-22,40000000,VND,40000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0051,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000051,2026-07-24,2026-08-23,25000000,VND,25000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0052,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000052,2026-07-25,2026-08-24,28000000,VND,28000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0053,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000053,2026-07-26,2026-08-25,67000000,VND,67000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0054,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000054,2026-07-27,2026-08-26,84000000,VND,84000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0055,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000055,2026-07-28,2026-08-27,26000000,VND,26000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0056,CUS-002,Công ty An Bình (synthetic),SYN-0000000056,2026-07-01,2026-07-31,27000000,VND,27000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0057,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000057,2026-07-02,2026-08-01,36000000,VND,36000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0058,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000058,2026-07-03,2026-08-02,98000000,VND,98000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0059,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000059,2026-07-04,2026-08-03,45000000,VND,45000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
